"id","title","description","due_date","status","doctor_id","assistant_id","created_by","clinic_id","created_at"
1,"Asignando nueva tarea","Probando mensajes de telegram","2025-09-20","completed",2,3,NULL,NULL,"2025-09-01 08:00:00"
2,"probando mensajes de telegram","probando vinculaciones","2025-09-20","in_progress",2,2,NULL,NULL,"2025-09-01 08:00:00"
3,"pastinar 1 a","ARREGLAR BORDES DE PLACAR DE LA HABITACION. !","2025-09-17","pending",6,5,NULL,NULL,"2025-09-01 08:00:00"
4,"ubicaciones","ver como llevar piso departamento por ubicación",NULL,"pending",6,6,NULL,NULL,"2025-09-01 08:00:00"
5,"relacion entre tareas","ver poder relacionar tareas puras con tareas que surgen de tareas mal hechas",NULL,"pending",6,6,NULL,NULL,"2025-09-01 08:00:00"
6,"Tarea 1","descripcion tarea 1","2025-09-22","pending",2,3,NULL,NULL,"2025-09-01 08:00:00"
7,"Dashboard gestion de tareas","importante : grafico de evolucion de tareas por asistente","2025-09-26","in_progress",6,6,NULL,NULL,"2025-09-17 11:16:07.420352"
8,"2 b pintar zocalos que faltan en todo el departamento","Verifica y pinta todos los zócalos que faltan pintar en el departamento 2 b","2025-09-17","pending",6,10,NULL,NULL,"2025-09-17 13:41:33.459326"
10,"4 c Benitez","Benitez mira porque se descascara la pintura del 4 c, decime como solucionamos ese tema porfa","2025-09-17","pending",6,14,NULL,NULL,"2025-09-17 14:20:11.584355"
11,"4 a pintura","MEÑANA VIENEN LOS DUEÑOS DEL 4 A

HOY HAY QUE TERMINAR DE HACER ESTOS ARREGLOS
PINTUTRA , HAY RETOQUES SERCA DE LA LLAVE DEL PASILLO.
ENDUIDO EN LOS PERFILES DE LOS PLACARES
PINTAR ZOCALOS EN TODO EL DEPARTAMENTO DONDE CORRESPONDA","2025-09-17","pending",6,10,NULL,NULL,"2025-09-17 15:17:55.657757"
12,"6 B pintura","PINTAR PARED CON HUMEDAD DEL DORMITORIO","2025-09-18","pending",6,10,NULL,NULL,"2025-09-17 15:27:49.449934"
14,"6 B enduido","HAY UN AGUJERO POR TAPAR ENTRE LA PERED Y EL PISO ANTRES DEL PASILLO QUE DA A DOREMITORIO","2025-09-18","pending",6,10,NULL,NULL,"2025-09-17 15:33:15.067121"
15,"6 B viga","EMPROLIOJAR VIGA DE COCINA","2025-09-18","pending",6,10,NULL,NULL,"2025-09-17 15:34:29.660787"
16,"4 A colocar puerta","VOLVER A COLOCAR5 PUIERTYA DONDE ESTA CALDERA","2025-09-18","pending",6,5,NULL,NULL,"2025-09-17 15:35:20.791313"
17,"TAREA DE PRUEBA PARA VER SI LLEGAN LOS MENSAJES","BLABLABLA","2025-09-17","pending",6,15,NULL,NULL,"2025-09-17 17:13:21.97051"
18,"Enviar correo","Enviame por favor tu correo electrónico. Gracias","2025-09-18","in_progress",2,16,NULL,NULL,"2025-09-17 17:38:27.388166"
19,"6 B EMPROLIJAR VCIGA HABITACION","PASAR MNOLADORA Y EMPROLIJAR REBARBAS","2025-09-19","pending",6,10,NULL,NULL,"2025-09-18 14:36:09.684803"
20,"2 B PASTINAR PISO","PASTINAR PISO CONTRA ZOCALOS","2025-09-18","pending",6,5,NULL,NULL,"2025-09-18 14:59:38.971769"
21,"2 b pintar zocalos habitaciones y living","revisar yb pintar zocalos de toido el depto","2025-09-18","pending",6,17,NULL,NULL,"2025-09-18 15:15:04.76939"
22,"2 bb arreglar con enduido ventanales","arreglar bordes de ventana con enduido","2025-09-18","completed",6,10,NULL,NULL,"2025-09-18 15:19:52.81755"
23,"2 c lavarropa","terminacion pared de lavarroipa","2025-09-12","completed",6,5,NULL,NULL,"2025-09-18 18:50:15.943278"
24,"2 c pastinar living","","2025-09-11","pending",6,13,NULL,NULL,"2025-09-18 18:51:06.351874"
25,"1 a terrminacion pared lavarropa","","2025-09-08","pending",6,5,NULL,NULL,"2025-09-18 18:52:02.633755"
26,"1 a enduido","terminacion pared lateral","2025-09-09","pending",6,5,NULL,NULL,"2025-09-18 18:53:51.026537"
27,"3 a lavadero","emprolijar","2025-09-10","pending",6,5,NULL,NULL,"2025-09-18 18:55:05.87661"
28,"3 a piso","pastinar pìso","2025-09-10","pending",6,5,NULL,NULL,"2025-09-18 18:56:02.660837"
29,"2 a lavarropa","emprolija","2025-09-11","pending",6,5,NULL,NULL,"2025-09-18 18:56:58.948271"
